Project #,School fleet owner,Bus Storage City,Bus Storage State,Bus Storage Street,Bus Storage Zip,Local Air District,New Bus CHP Cert Date,New Bus VIN,New Bus Delivery Date,New Bus GVWR,New Bus Manufacturer,New Bus Model,New Bus Model Year,School District Census Track,Bus Type,New Bus Purchase Price (Quote),Total Project Cost,Total Project Funding
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,6/8/22,4DREBE2N4P4886716,,30280,International,PB10500,2021,,C,292021,314652.63,314652.63
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,6/8/22,4DREBE2N6PB486717,,30280,International,PB10500,2021,,C,292021,314652.63,314652.63
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,6/8/22,4DREBE2N8PB486718,,30280,International,PB10500,2021,,C,292021,314652.63,314652.63
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,6/8/22,4DREBE2NXPB486719,,30280,International,PB10500,2021,,C,292021,314652.63,314652.63
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,6/23/22,4DREBE2N6PB486720,,30280,International,PB10500,2021,,C,292021,314652.63,314652.63
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,6/8/22,4DREBE2N8PB486721,,30280,International,PB10500,2021,,C,292021,314652.63,314652.63
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,6/8/22,4DREBE2NXPB486722,,30280,International,PB10500,2021,,C,292021,314652.63,314652.63
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,6/8/22,4DREBE2N1PB486723,,30280,International,PB10500,2021,,C,292021,314652.63,314652.63
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,6/24/22,4DREBE2N3PB486724,,30280,International,PB10500,2021,,C,292021,314652.63,314652.63
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,6/8/22,4DREBE2N5PB486725,,30280,International,PB10500,2021,,C,292021,314652.63,314652.63
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,8/18/21,1BABNBUA1MF383159,,36200,Blue Bird,T3RE 3904,2021,,D,359298.11,387143.71,387143.71
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,8/12/21,1BABNBUA9MF383300,,36200,Blue Bird,T3RE 3904,2021,,D,359298.11,387143.71,387143.71
,San Diego Unified School District,San Diego,CA,4710 Cardin Street,92111,San Diego APCD,8/18/21,1BABNBUA1MF383159,,36200,Blue Bird,T3RE 3904,2021,,D,359298.11,387143.71,387143.71
23,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,12/8/21,1FDFE4FNXNDC05858,,14500,Micro Bird,G5,2021,,A,283673.31,308232.34,308232.34
24,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,12/8/21,1FDFE4FN4NDC11526,,14500,Micro Bird,G5,2021,,A,283673.31,308232.34,308232.34
25,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,12/8/21,1FDFE4FN6NDC11527,,14500,Micro Bird,G5,2021,,A,283673.31,308232.34,308232.34
26,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,9/8/21,1FDFE4FN8MDC09549,,14500,Micro Bird,G5,2021,,A,283673.31,308232.34,308232.34
27,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,12/8/21,1FDFE4FN1MDC17671,,14500,Micro Bird,G5,2021,,A,283673.31,308232.34,308232.34
28,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,9/8/21,1FDFE4FN4MDC09550,,14500,Micro Bird,G5,2021,,A,283673.31,308232.34,308232.34
29,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,9/8/21,1FDFE4FN3MDC17672,,14500,Micro Bird,G5,2021,,A,283673.31,308232.34,308232.34
30,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,9/8/21,1FDFE4FN5MDC17673,,14500,Micro Bird,G5,2021,,A,283673.31,308232.34,308232.34
31,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,12/8/21,1BABNBUA1MF382173,,36200,Blue Bird,T3RE 3904,2021,,D,385712.66,419400.13,419400.13
32,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,12/8/21,1BABNBUA3MF382174,,36200,Blue Bird,T3RE 3904,2021,,D,385712.66,419400.13,419400.13
33,El Monte Union High School District,South El Monte,CA,1003 Durfee Avenue,91733,South Coast AQMD,12/8/21,1BABNBUA5MF382175,,36200,Blue Bird,T3RE 3904,2021,,D,385712.66,419400.13,419400.13
42,Stockton Unified School District,Stockton ,CA,2963 Sanguinetti Lane,95202,San Joaquin Valley APCD,4/1/21,1BABNBUA1MF381220,,36200,Blue Bird,T3RE 3904,2021,,D,371672.48,405123,405123
43,Stockton Unified School District,Stockton ,CA,2963 Sanguinetti Lane,95202,San Joaquin Valley APCD,4/1/21,1BABNBUA5MF381219,,36200,Blue Bird,T3RE 3904,2021,,D,371672.48,405123,405123
44,Stockton Unified School District,Stockton ,CA,2963 Sanguinetti Lane,95202,San Joaquin Valley APCD,4/1/21,1BABNBUA3MF381218,,36200,Blue Bird,T3RE 3904,2021,,D,371672.48,405123,405123
45,Stockton Unified School District,Stockton ,CA,2963 Sanguinetti Lane,95202,San Joaquin Valley APCD,4/1/21,1BABNBUA1MF381217,,36200,Blue Bird,T3RE 3904,2021,,D,371672.48,405123,405123